date,temperature,wind_speed,solar_irradiance
20200101,18.39,1.35,1.9697
20200102,20.66,1.0,1.7971
20200103,20.78,1.57,1.9267
20200104,20.63,2.06,1.855
20200105,20.98,2.18,2.1262
20200106,21.07,2.83,2.9909
20200107,21.55,1.7,1.9507
20200108,21.55,2.08,2.6347
20200109,21.84,1.88,2.4372
20200110,21.84,2.63,2.5099
20200111,19.37,2.72,1.8175
20200112,15.01,1.85,1.8454
20200113,17.15,1.29,1.1366
20200114,20.95,2.91,1.4748
20200115,21.19,3.49,1.9478
20200116,20.99,2.12,2.8207
20200117,14.97,2.13,1.0294
20200118,15.75,1.26,0.985
20200119,15.05,2.2,1.0342
20200120,16.43,1.16,1.1801
20200121,19.9,2.42,1.5828
20200122,21.21,2.64,1.7002
20200123,22.15,3.0,2.1161
20200124,22.12,2.87,1.4683
20200125,14.24,3.92,1.2528
20200126,13.46,2.28,3.8261
20200127,11.89,1.83,2.5829
20200128,12.55,1.99,2.053
20200129,13.05,1.97,1.5881
20200130,13.06,1.64,3.9895
20200131,14.45,1.42,3.113
20200201,16.5,1.6,1.1105
20200202,19.16,2.47,1.7225
20200203,18.83,2.91,1.1438
20200204,14.91,1.93,1.0766
20200205,15.14,1.43,1.0937
20200206,17.87,1.18,1.746
20200207,18.42,2.02,1.3478
20200208,16.24,2.36,1.0207
20200209,13.73,2.29,1.1078
20200210,15.93,1.55,2.1684
20200211,19.39,2.18,1.6308
20200212,21.75,2.61,2.5466
20200213,23.16,1.82,2.4463
20200214,23.67,1.51,2.88
20200215,22.58,2.26,3.6278
20200216,14.04,3.65,2.005
20200217,13.22,2.36,3.0295
20200218,13.77,1.63,4.4549
20200219,16.32,1.29,3.2878
20200220,19.13,2.03,1.6577
20200221,19.58,2.02,2.2675
20200222,19.1,1.62,3.3782
20200223,18.95,1.87,4.3166
20200224,19.37,1.8,3.7898
20200225,20.38,1.97,2.5877
20200226,20.93,1.79,3.7402
20200227,21.63,1.88,4.542
20200228,21.36,2.17,3.6132
20200229,22.14,2.35,2.6741
20200301,23.44,2.11,2.4648
20200302,23.37,2.85,1.5643
20200303,23.64,3.54,1.584
20200304,17.46,3.41,1.5511
20200305,16.67,1.56,1.8648
20200306,20.39,1.6,3.085
20200307,23.45,1.08,2.9566
20200308,26.09,1.8,5.215
20200309,26.65,1.95,6.4682
20200310,20.1,3.03,2.7746
20200311,20.41,1.62,2.4727
20200312,24.3,2.04,2.7506
20200313,24.94,1.21,4.0111
20200314,20.71,2.78,1.5557
20200315,20.14,1.71,2.197
20200316,22.2,1.94,2.4276
20200317,24.01,3.22,1.6236
20200318,21.32,2.39,1.3764
20200319,21.63,1.78,2.1708
20200320,21.44,1.24,3.7958
20200321,24.22,2.06,3.4848
20200322,24.88,1.37,2.9009
20200323,24.41,2.15,4.0198
20200324,24.15,2.9,3.4586
20200325,24.54,3.72,2.1919
20200326,25.95,3.14,3.5657
20200327,26.71,1.86,3.7642
20200328,22.68,2.38,2.7526
20200329,24.51,2.87,2.6242
20200330,22.86,2.57,2.3714
20200331,21.72,2.0,2.2258
20200401,20.42,1.47,1.9502
20200402,23.18,2.09,1.0757
20200403,24.78,2.9,1.4184
20200404,20.95,3.05,1.2086
20200405,18.32,2.53,1.507
20200406,17.94,1.83,2.2572
20200407,19.76,1.68,3.6878
20200408,20.49,0.89,3.0617
20200409,21.99,1.41,4.0498
20200410,24.07,2.28,3.0626
20200411,25.91,1.81,3.3871
20200412,18.05,3.25,1.1011
20200413,16.3,1.7,0.9439
20200414,17.7,1.33,6.4373
20200415,20.69,1.83,4.4921
20200416,23.49,2.87,2.3534
20200417,24.36,2.54,2.0935
20200418,25.22,1.4,4.0884
20200419,26.93,1.34,3.1469
20200420,26.84,1.95,3.041
20200421,27.5,1.85,3.8664
20200422,23.91,2.38,2.5128
20200423,18.57,2.78,1.9615
20200424,17.05,2.64,1.6915
20200425,17.9,1.25,2.747
20200426,20.13,1.96,2.8999
20200427,22.19,1.41,6.2849
20200428,23.52,1.42,7.2679
20200429,24.39,1.37,5.5642
20200430,23.75,1.35,3.5669
20200501,25.08,2.25,1.7141
20200502,26.26,2.13,5.7643
20200503,28.08,1.82,4.487
20200504,28.53,1.83,6.1565
20200505,29.93,1.76,5.8915
20200506,29.92,1.58,4.3166
20200507,29.24,1.76,3.733
20200508,30.26,1.54,4.7227
20200509,28.45,1.28,6.6238
20200510,28.49,1.03,6.6802
20200511,28.98,1.44,4.758
20200512,25.04,1.93,3.5244
20200513,26.5,1.76,3.54
20200514,27.86,2.08,6.9542
20200515,29.18,1.78,5.4989
20200516,28.82,1.97,6.2933
